"k","signal_cluster","cluster_ordered","signal_mode","beta","summary_type","GLaD_0.5_unweighted","GLaD_0.5_weighted","GLaD_1_unweighted","GLaD_1_weighted","GUniFrac","aitchison","bray","euclidean","jaccard","unifrac_unweighted","unifrac_weighted_phyloseq"
4,4,3,"abundance",0.2,"power",0.07,0.1,0.05,0.11,0.11,0.07,0.11,0.13,0.11,0.13,0.1
4,4,3,"abundance",0.25,"power",0.05,0.08,0.07,0.07,0.17,0.07,0.07,0.04,0.07,0.07,0.14
4,4,3,"abundance",0.3,"power",0.05,0.09,0.03,0.07,0.21,0.11,0.11,0.1,0.1,0.07,0.17
4,4,3,"abundance",0.35,"power",0.06,0.11,0.04,0.07,0.22,0.06,0.14,0.05,0.13,0.06,0.17
4,4,3,"abundance",0.4,"power",0.03,0.15,0.03,0.13,0.34,0.07,0.25,0.16,0.21,0.06,0.3
4,4,3,"abundance",0.45,"power",0.06,0.2,0.09,0.17,0.36,0.07,0.19,0.06,0.18,0.06,0.31
4,4,3,"abundance",0.5,"power",0.05,0.31,0.03,0.25,0.5,0.11,0.28,0.15,0.25,0.06,0.43
4,4,3,"abundance",0.55,"power",0.04,0.3,0.03,0.16,0.6,0.09,0.35,0.2,0.38,0.02,0.48
4,4,3,"abundance",0.6,"power",0.08,0.48,0.05,0.36,0.81,0.18,0.58,0.28,0.56,0.06,0.7
4,4,3,"both",0.05,"power",0.07,0.05,0.03,0.02,0.02,0.11,0.06,0.09,0.06,0.08,0.03
4,4,3,"both",0.1,"power",0.06,0.06,0.05,0.07,0.07,0.05,0.07,0.05,0.05,0.07,0.08
4,4,3,"both",0.15,"power",0.05,0.04,0.06,0.09,0.12,0.06,0.08,0.07,0.08,0.06,0.11
4,4,3,"both",0.2,"power",0.12,0.15,0.08,0.13,0.16,0.17,0.11,0.09,0.11,0.1,0.17
4,4,3,"both",0.25,"power",0.14,0.12,0.19,0.09,0.3,0.24,0.19,0.1,0.17,0.11,0.26
4,4,3,"both",0.3,"power",0.24,0.17,0.16,0.13,0.27,0.24,0.14,0.11,0.13,0.17,0.27
4,4,3,"both",0.35,"power",0.37,0.19,0.26,0.11,0.59,0.43,0.29,0.11,0.28,0.24,0.39
4,4,3,"both",0.4,"power",0.48,0.26,0.29,0.2,0.69,0.56,0.35,0.07,0.36,0.33,0.49
4,4,3,"both",0.45,"power",0.59,0.34,0.35,0.25,0.8,0.62,0.41,0.2,0.39,0.46,0.58
4,4,3,"both",0.5,"power",0.8,0.44,0.46,0.26,0.94,0.84,0.58,0.2,0.57,0.61,0.75
4,4,3,"both",0.55,"power",0.9,0.47,0.52,0.36,0.96,0.97,0.72,0.24,0.66,0.75,0.81
