"k","signal_cluster","cluster_ordered","signal_mode","beta","summary_type","n_otu","avg_silhouette","mean_relative_abundance","mean_prevalence","within_cop_n_pair","within_cop_mean","within_cop_sd","within_cop_min","within_cop_q1","within_cop_median","within_cop_q3","within_cop_max","within_cop_iqr","lower_whisker","upper_whisker","n_outlier","GLaD_0.5_unweighted","GLaD_0.5_weighted","GLaD_1_unweighted","GLaD_1_weighted","GUniFrac","aitchison","bray","euclidean","jaccard","unifrac_unweighted","unifrac_weighted_phyloseq"
2,1,1,"both",0.45,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,1,0.85,0.98,0.86,0.99,0.93,0.59,0.22,0.59,0.98,0.91
2,1,1,"both",0.5,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,1,0.93,1,0.93,1,0.99,0.8,0.35,0.76,1,0.99
2,1,1,"both",0.55,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,1,0.96,1,0.95,1,1,0.8,0.37,0.78,1,1
2,1,1,"both",0.6,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,1,0.97,1,0.98,1,1,0.96,0.37,0.95,1,0.98
2,1,1,"prevalence",0,"type1_error",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.04,0.02,0.08,0.01,0.03,0.04,0.02,0.03,0.01,0.02,0.03
2,1,1,"prevalence",0.05,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.09,0.06,0.05,0.05,0.07,0.04,0.05,0.03,0.03,0.06,0.05
2,1,1,"prevalence",0.1,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.13,0.02,0.2,0.05,0.04,0.11,0.04,0.04,0.05,0.08,0.03
2,1,1,"prevalence",0.15,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.17,0.06,0.32,0.06,0.05,0.1,0.1,0.04,0.09,0.11,0.05
2,1,1,"prevalence",0.2,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.25,0.01,0.48,0.03,0.05,0.1,0.05,0.03,0.06,0.14,0.05
2,1,1,"prevalence",0.25,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.45,0.06,0.66,0.06,0.11,0.19,0.06,0.06,0.06,0.37,0.07
