"k","signal_mode","method","way","type1_error","n_nonmissing","total_weight","signal_cluster","cluster_n_otus_template","method_label"
6,"prevalence","GLaD_1_weighted","abund_sum_x_mean_abund",0.0465,600,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
6,"prevalence","unifrac_unweighted","abund_sum_x_mean_abund",0.077,600,87471.7473,NA,NA,"Unweighted UniFrac"
6,"prevalence","unifrac_weighted_phyloseq","abund_sum_x_mean_abund",0.0607,600,87471.7473,NA,NA,"Weighted UniFrac"
6,"prevalence","GUniFrac","abund_sum_x_mean_abund",0.0579,600,87471.7473,NA,NA,"GUniFrac"
6,"prevalence","aitchison","abund_sum_x_mean_abund",0.0613,600,87471.7473,NA,NA,"Aitchison"
6,"prevalence","bray","abund_sum_x_mean_abund",0.0607,600,87471.7473,NA,NA,"Bray-Curtis"
6,"prevalence","euclidean","abund_sum_x_mean_abund",0.0495,600,87471.7473,NA,NA,"Euclidean"
6,"prevalence","jaccard","abund_sum_x_mean_abund",0.0612,600,87471.7473,NA,NA,"Jaccard"
8,"abundance","GLaD_0.5_unweighted","abund_sum_x_mean_abund",0.0378,800,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
8,"abundance","GLaD_0.5_weighted","abund_sum_x_mean_abund",0.0496,800,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
8,"abundance","GLaD_1_unweighted","abund_sum_x_mean_abund",0.0536,800,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
8,"abundance","GLaD_1_weighted","abund_sum_x_mean_abund",0.0343,800,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
8,"abundance","unifrac_unweighted","abund_sum_x_mean_abund",0.0393,800,87471.7473,NA,NA,"Unweighted UniFrac"
8,"abundance","unifrac_weighted_phyloseq","abund_sum_x_mean_abund",0.0427,800,87471.7473,NA,NA,"Weighted UniFrac"
