"k","signal_mode","beta","signal_cluster","cluster_n_otus_template","method","power","n_nonmissing"
2,"both",0.1,1,308,"euclidean",0.09,100
2,"both",0.1,1,308,"jaccard",0.08,100
2,"both",0.1,1,308,"unifrac_unweighted",0.11,100
2,"both",0.1,1,308,"unifrac_weighted_phyloseq",0.07,100
2,"both",0.15,1,308,"GLaD_0.5_unweighted",0.11,100
2,"both",0.15,1,308,"GLaD_0.5_weighted",0.11,100
2,"both",0.15,1,308,"GLaD_1_unweighted",0.23,100
2,"both",0.15,1,308,"GLaD_1_weighted",0.14,100
2,"both",0.15,1,308,"GUniFrac",0.2,100
2,"both",0.15,1,308,"aitchison",0.09,100
2,"both",0.15,1,308,"bray",0.11,100
2,"both",0.15,1,308,"euclidean",0.04,100
2,"both",0.15,1,308,"jaccard",0.11,100
2,"both",0.15,1,308,"unifrac_unweighted",0.17,100
2,"both",0.15,1,308,"unifrac_weighted_phyloseq",0.12,100
2,"both",0.2,1,308,"GLaD_0.5_unweighted",0.42,100
2,"both",0.2,1,308,"GLaD_0.5_weighted",0.3,100
2,"both",0.2,1,308,"GLaD_1_unweighted",0.43,100
2,"both",0.2,1,308,"GLaD_1_weighted",0.34,100
2,"both",0.2,1,308,"GUniFrac",0.38,100
2,"both",0.2,1,308,"aitchison",0.29,100
2,"both",0.2,1,308,"bray",0.15,100
2,"both",0.2,1,308,"euclidean",0.09,100
2,"both",0.2,1,308,"jaccard",0.13,100
2,"both",0.2,1,308,"unifrac_unweighted",0.26,100
2,"both",0.2,1,308,"unifrac_weighted_phyloseq",0.35,100
2,"both",0.25,1,308,"GLaD_0.5_unweighted",0.43,100
2,"both",0.25,1,308,"GLaD_0.5_weighted",0.39,100
2,"both",0.25,1,308,"GLaD_1_unweighted",0.61,100
2,"both",0.25,1,308,"GLaD_1_weighted",0.37,100
2,"both",0.25,1,308,"GUniFrac",0.52,100
2,"both",0.25,1,308,"aitchison",0.27,100
2,"both",0.25,1,308,"bray",0.18,100
2,"both",0.25,1,308,"euclidean",0.13,100
2,"both",0.25,1,308,"jaccard",0.17,100
2,"both",0.25,1,308,"unifrac_unweighted",0.31,100
2,"both",0.25,1,308,"unifrac_weighted_phyloseq",0.49,100
2,"both",0.3,1,308,"GLaD_0.5_unweighted",0.65,100
2,"both",0.3,1,308,"GLaD_0.5_weighted",0.51,100
2,"both",0.3,1,308,"GLaD_1_unweighted",0.77,100
2,"both",0.3,1,308,"GLaD_1_weighted",0.54,100
2,"both",0.3,1,308,"GUniFrac",0.62,100
2,"both",0.3,1,308,"aitchison",0.48,100
2,"both",0.3,1,308,"bray",0.32,100
2,"both",0.3,1,308,"euclidean",0.14,100
2,"both",0.3,1,308,"jaccard",0.27,100
2,"both",0.3,1,308,"unifrac_unweighted",0.58,100
2,"both",0.3,1,308,"unifrac_weighted_phyloseq",0.61,100
2,"both",0.35,1,308,"GLaD_0.5_unweighted",0.88,100
2,"both",0.35,1,308,"GLaD_0.5_weighted",0.57,100
2,"both",0.35,1,308,"GLaD_1_unweighted",0.91,100
2,"both",0.35,1,308,"GLaD_1_weighted",0.6,100
2,"both",0.35,1,308,"GUniFrac",0.81,100
2,"both",0.35,1,308,"aitchison",0.71,100
2,"both",0.35,1,308,"bray",0.32,100
2,"both",0.35,1,308,"euclidean",0.08,100
2,"both",0.35,1,308,"jaccard",0.32,100
2,"both",0.35,1,308,"unifrac_unweighted",0.72,100
2,"both",0.35,1,308,"unifrac_weighted_phyloseq",0.67,100
2,"both",0.4,1,308,"GLaD_0.5_unweighted",0.98,100
2,"both",0.4,1,308,"GLaD_0.5_weighted",0.77,100
2,"both",0.4,1,308,"GLaD_1_unweighted",0.96,100
2,"both",0.4,1,308,"GLaD_1_weighted",0.78,100
2,"both",0.4,1,308,"GUniFrac",0.94,100
2,"both",0.4,1,308,"aitchison",0.82,100
